director,receita_total_bi,nota_metadata_media,nota_usuarios_media,qtd_filmes
Mira Nair,0.08,6.35,3.16,8
Todd Haynes,0.07,6.82,3.77,5
Stanley Donen,0.07,5.68,3.8,6
Rick Rosenthal,0.07,5.52,3.1,4
John Dahl,0.07,6.52,4.01,5
John Crowley,0.07,6.62,4.42,4
Phil Joanou,0.07,6.2,4.0,3
Steven Zaillian,0.07,6.37,3.54,3
George Stevens,0.07,7.1,3.88,4
James Gray,0.07,6.35,3.25,4
Billy Ray,0.07,6.43,3.82,3
John Flynn,0.07,6.1,,4
Randa Haines,0.07,6.2,3.56,4
Kevin Hooks,0.07,5.47,2.75,3
Brett Leonard,0.07,4.95,3.01,4
Jack Smight,0.07,5.6,2.64,3
King Vidor,0.07,6.35,4.33,4
J. Lee Thompson,0.07,5.83,3.28,6
Anees Bazmee,0.07,5.83,,3
Bob Fosse,0.06,6.63,3.12,3
Ernest R. Dickerson,0.06,5.7,2.25,5
Richard Brooks,0.06,6.84,3.38,5
Michael J. Bassett,0.06,5.53,,3
Adam Wingard,0.06,6.0,3.66,3
Ralph Bakshi,0.06,6.23,3.16,6
Christian Duguay,0.06,5.32,3.03,4
Tony Bill,0.06,6.5,2.52,4
Christopher Cain,0.06,5.5,2.84,3
Joseph Zito,0.06,5.33,2.5,3
Robert Lieberman,0.06,5.55,2.0,4
Julian Jarrold,0.06,6.42,3.25,4
Mani Ratnam,0.06,6.02,,5
Park Chan-wook,0.06,7.4,3.52,6
Davis Guggenheim,0.06,6.26,3.36,5
Jim Jarmusch,0.06,7.05,3.5,4
Sheldon Lettich,0.06,6.0,2.75,3
Ken Russell,0.06,6.06,2.61,5
Walter Salles,0.06,6.4,3.55,4
